classification	db_link	observation_name	observation_sum	BHT0.LOT01	BHT0.LOT03	BHT0.LOT04	BHT0.LOT05	BHT0.LOT06	BHT0.LOT07	BHT0.LOT08	BHT0.LOT10	CDT0.LOT02	CDT0.LOT04	CDT0.LOT05	CDT0.LOT06	CDT0.LOT07	CDT0.LOT08	CDT0.LOT09	CDT0.LOT10	DLT0.LOT01	DLT0.LOT03	DLT0.LOT04	DLT0.LOT05	DLT0.LOT06	DLT0.LOT07	DLT0.LOT08	DLT0.LOT10	FCT0.LOT01	FCT0.LOT02	FCT0.LOT03	FCT0.LOT05	FCT0.LOT06	FCT0.LOT07	FCT0.LOT08	FCT0.LOT10	FST0.LOT01	FST0.LOT02	FST0.LOT03	FST0.LOT05	FST0.LOT06	FST0.LOT07	FST0.LOT08	FST0.LOT10	MVT0.LOT01	MVT0.LOT03	MVT0.LOT05	MVT0.LOT06	MVT0.LOT07	MVT0.LOT08	MVT0.LOT09	MVT0.LOT10	SFT0.LOT01	SFT0.LOT02	SFT0.LOT03	SFT0.LOT04	SFT0.LOT05	SFT0.LOT06	SFT0.LOT07	SFT0.LOT08	VHT0.LOT01	VHT0.LOT02	VHT0.LOT03	VHT0.LOT04	VHT0.LOT06	VHT0.LOT07	VHT0.LOT08	VHT0.LOT10
Isomerases;Racemases and epimerases;Acting on other compounds;NAD(P)H-hydrate epimerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.99.6	EC:5.1.99.6	20494.2	3.67	0.67	3.83	3.0	3.17	3.33	4.83	0.5	2532.17	374.0	1149.17	126.33	5607.0	121.33	1924.0	3439.0	0.0	0.0	1.17	0.67	0.83	1.17	0.67	0.83	10.67	135.83	48.17	71.17	4.5	3.0	85.17	72.0	3.67	29.67	29.67	25.67	470.0	5.83	1.67	6.83	0.67	0.67	2.83	1.5	313.5	3.0	0.5	0.0	1115.83	31.0	264.17	21.17	38.33	741.83	985.0	664.83	1.67	0.67	1.17	0.0	0.0	0.0	0.0	1.0
Isomerases;cis-trans-Isomerases;cis-trans Isomerases (only sub-subclass identified to date);Maleylpyruvate isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.2.1.4	EC:5.2.1.4	22275.0	146.0	1251.0	263.0	327.0	180.0	118.0	293.0	86.0	0.0	5.0	179.0	212.0	5.0	1.0	0.0	77.0	49.0	26.0	105.0	148.0	69.0	430.0	42.0	287.0	0.0	23.0	13.0	58.0	43.0	61.0	64.0	37.0	3265.0	653.0	723.0	676.0	1305.0	2284.0	3068.0	3127.0	71.0	216.0	378.0	846.0	210.0	190.0	122.0	13.0	3.0	173.0	34.0	105.0	86.0	1.0	14.0	16.0	3.0	6.0	54.0	6.0	9.0	9.0	3.0	8.0
Isomerases;cis-trans-Isomerases;cis-trans Isomerases (only sub-subclass identified to date);Peptidylprolyl isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.2.1.8	EC:5.2.1.8	677970.5	16180.7	9160.2	9985.8	16213.5	17600.2	13797.3	12234.3	13062.0	6222.2	1049.9	2961.7	2215.7000000000007	5757.1	6457.3	2007.7	3941.5	18098.0	19389.0	2565.2	13862.2	12934.3	6190.2	15964.2	9349.8	10887.7	2159.8	12350.7	10134.7	2275.5	10737.5	10222.7	1199.0	17674.2	7629.7	7426.7	7214.2	14237.0	19297.3	17425.2	15024.3	7158.2	7609.2	3314.8	6178.5	5152.5	3867.5	10342.5	13610.0	11726.8	12001.0	14085.7	12969.7	13511.8	7468.3	12033.0	8437.8	21572.2	13646.7	10205.7	14250.7	10179.7	19050.5	22525.0	13976.5
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;Triose-phosphate isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.1	EC:5.3.1.1	235909.19999999998	5559.67	2560.17	3411.33	5510.0	5758.17	4565.83	3814.83	4789.5	4917.17	614.1	1732.17	812.43	5661.9	3312.83	1953.8	3608.0	6021.0	6446.5	850.17	4617.17	4302.33	1952.17	5314.67	3054.83	2906.67	435.33	3034.17	2450.17	754.5	2736.0	2736.67	247.5	4934.17	2810.67	2675.67	2573.67	4331.0	5813.83	5509.17	4441.83	3431.67	3515.17	1204.33	2220.5	1041.0	1659.5	5064.5	6777.0	1340.83	4975.0	4597.17	5576.17	5938.33	761.83	1997.0	1349.83	7379.67	4926.17	4055.17	5304.3	3564.8	6491.0	7684.5	5522.0
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;Glucuronate isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.12	EC:5.3.1.12	72396.20000000001	491.67	1321.67	337.83	564.0	270.17	320.3300000000001	413.83	185.5	0.17	9.0	209.17	262.33	7.0	3.33	2.0	85.0	63.0	33.0	209.17	288.67	191.83	668.1700000000002	67.67	402.83	2007.67	294.8300000000001	93.17	162.17000000000004	204.5	174.0	1692.17	211.0	3318.67	2474.67	2406.67	2276.67	1811.0	2421.83	3138.67	3165.83	3302.67	3375.67	1084.83	2051.5	818.5	1559.0	4870.5	6739.0	1224.83	2971.0	1414.17	2921.17	3971.33	753.83	1737.0	771.83	86.67	22.67	174.17000000000004	63.0	42.0	58.0	68.0	54.0
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;Arabinose-5-phosphate isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.13	EC:5.3.1.13	24087.7	924.67	109.17	625.33	918.5	820.67	690.33	483.83	656.5	1.67	9.5	48.17	49.33	8.5	7.33	3.5	25.5	0.0	3.0	2.67	7.17	40.83	81.67	2.17	56.33	2005.67	139.33	49.17	83.17	49.0	44.5	1532.17	82.0	211.17	213.67	117.67	127.17	1622.0	368.83	830.17	518.83	17.17	13.17	19.33	57.0	357.0	16.5	84.0	14.0	1131.33	377.0	529.1700000000002	686.17	465.83	742.83	1056.0	744.33	244.17	587.67	937.17	616.5	403.5	170.5	274.0	972.5
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;L-rhamnose isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.14	EC:5.3.1.14	15272.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2532.0	374.0	1149.0	126.0	5607.0	121.0	1924.0	3439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.16	EC:5.3.1.16	145509.7	4123.67	1114.17	2430.33	4060.5	4649.67	3561.33	2905.83	3936.5	2603.67	464.5	1487.17	486.33	5645.5	1084.33	1947.5	3497.5	5958.0	6414.0	642.67	4326.17	4144.83	1340.67	5243.17	2594.33	2807.67	274.33000000000004	55.17	136.17000000000002	595.0	133.5	2571.17	114.0	1401.17	401.67	321.67	380.17	1865.0	3171.83	1647.17	790.83	121.17	132.17000000000002	110.33	119.0	509.0	96.5	108.0	23.0	1216.33	1689.0	3182.17	2024.17	1585.83	748.83	1174.0	1163.33	7060.17	4315.67	2937.17	4626.5	3122.5	6268.5	7350.0	4497.5
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;5-dehydro-4-deoxy-D-glucuronate isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.17	EC:5.3.1.17	17536.2	30.67	17.17	29.33	24.0	45.17	3.83	31.83	12.5	0.17	70.5	6.17	12.83	0.5	18.83	3.0	0.0	0.0	5.5	2.17	3.17	38.33	75.17	3.67	3.83	2102.67	137.33	2981.17	2318.17	48.5	2516.0	1531.67	83.5	50.17	139.67000000000002	86.67	106.67	491.0	108.83	63.17	19.83	10.67	5.17	10.33	9.5	324.0	20.5	6.5	13.0	1115.83	31.0	264.17	29.17	42.33	741.83	985.0	664.83	5.67	2.17	10.17	9.5	3.0	3.0	4.5	1.0
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;S-methyl-5-thioribose-1-phosphate isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.23	EC:5.3.1.23	15272.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2532.0	374.0	1149.0	126.0	5607.0	121.0	1924.0	3439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;Phosphoribosylanthranilate isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.24	EC:5.3.1.24	208495.7	4611.67	2435.17	2764.33	4605.5	4910.67	3878.33	3312.83	4121.5	2603.67	472.5	1690.17	739.3299999999998	5652.5	1087.33	1948.5	3582.5	6021.0	6444.0	849.67	4612.17	4298.83	1937.67	5310.17	2996.33	2809.67	432.33	100.17	215.17	752.0	263.5	2733.17	244.0	4704.17	2736.67	2642.67	2551.17	3190.0	5507.83	4729.17	3938.83	3417.17	3504.17	1188.33	2165.0	1005.0	1644.5	4977.0	6758.0	1325.33	4629.0	4332.17	4917.17	5514.83	760.83	1926.0	1270.33	7141.17	4337.67	3110.17	4685.5	3161.5	6323.5	7414.0	4550.5
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;L-fucose isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.25	EC:5.3.1.25	37547.0	146.0	1251.0	263.0	327.0	180.0	118.0	293.0	86.0	2532.0	379.0	1328.0	338.0	5612.0	122.0	1924.0	3516.0	49.0	26.0	105.0	148.0	69.0	430.0	42.0	287.0	0.0	23.0	13.0	58.0	43.0	61.0	64.0	37.0	3265.0	653.0	723.0	676.0	1305.0	2284.0	3068.0	3127.0	71.0	216.0	378.0	846.0	210.0	190.0	122.0	13.0	3.0	173.0	34.0	105.0	86.0	1.0	14.0	16.0	3.0	6.0	54.0	6.0	9.0	9.0	3.0	8.0
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;D-sedoheptulose 7-phosphate isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.28	EC:5.3.1.28	5222.2	3.67	0.67	3.83	3.0	3.17	3.33	4.83	0.5	0.17	0.0	0.17	0.33	0.0	0.33	0.0	0.0	0.0	0.0	1.17	0.67	0.83	1.17	0.67	0.83	10.67	135.83	48.17	71.17	4.5	3.0	85.17	72.0	3.67	29.67	29.67	25.67	470.0	5.83	1.67	6.83	0.67	0.67	2.83	1.5	313.5	3.0	0.5	0.0	1115.83	31.0	264.17	21.17	38.33	741.83	985.0	664.83	1.67	0.67	1.17	0.0	0.0	0.0	0.0	1.0
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;5-deoxy-glucuronate isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.30	EC:5.3.1.30	107124.0	937.0	1653.0	696.0	1238.0	1412.0	771.0	734.0	2707.0	64.0	82.0	442.0	514.0	27.0	895.0	19.0	107.0	6007.0	6415.0	741.0	4460.0	4164.0	1669.0	5283.0	2654.0	799.0	137.0	19.0	109.0	577.0	145.0	1093.0	69.0	4296.0	710.0	821.0	813.0	1492.0	4758.0	3794.0	3364.0	141.0	312.0	435.0	901.0	358.0	235.0	134.0	17.0	45.0	994.0	2365.0	701.0	754.0	4.0	48.0	387.0	6611.0	3101.0	1158.0	3802.0	2019.0	5993.0	6744.0	3178.0
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;L-arabinose isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.4	EC:5.3.1.4	55388.5	1263.0	178.5	692.5	1117.5	892.5	886.0	591.0	755.0	1.5	11.5	66.0	81.0	10.5	9.0	3.5	33.5	14.0	4.0	102.5	142.5	88.0	177.5	26.5	170.5	2.0	137.5	33.0	21.0	115.5	69.5	100.0	94.0	233.5	1756.0	1630.0	1516.5	1156.0	335.0	787.5	522.0	3235.5	3165.5	712.5	1251.5	320.5	1363.5	4829.5	6732.0	121.5	3113.0	1381.0	3446.0	4266.5	12.0	809.0	170.5	316.5	603.0	1055.0	665.5	430.5	213.5	331.0	1016.5
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;Xylose isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.5	EC:5.3.1.5	14677.5	921.0	108.5	621.5	899.5	811.5	687.0	477.0	656.0	1.5	8.5	42.0	40.0	8.5	7.0	2.5	25.5	0.0	0.0	0.5	4.5	3.0	10.5	1.5	55.5	0.0	2.5	1.0	0.0	1.5	0.5	2.0	1.0	195.5	74.0	32.0	21.5	1136.0	283.0	773.5	501.0	10.5	9.5	12.5	51.5	34.5	5.5	82.5	10.0	15.5	346.0	265.0	658.0	423.5	1.0	71.0	79.5	238.5	587.0	936.0	612.5	400.5	167.5	270.0	971.5
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;Ribose-5-phosphate isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.6	EC:5.3.1.6	291857.7	9034.67	4522.67	5667.83	8967.5	9346.67	7588.83	6565.83	6190.5	3768.67	599.8	1980.17	1058.63	5683.2	2282.83	1956.9	3713.5	6070.0	6494.5	959.67	4776.67	4383.33	2412.67	5358.17	3568.33	2909.67	481.83	3048.17	2510.17	811.0	2802.5	2812.67	285.5	8553.67	3668.67	3536.67	3387.17	6828.0	8709.83	9441.67	8104.83	3547.17	3763.67	1628.83	3125.0	1289.5	1890.0	5281.0	6805.0	1402.33	5985.0	5218.17	7081.17	6899.83	766.83	2166.0	1493.33	7829.17	6152.17	5941.17	6136.4	4681.9	6781.5	8292.5	6856.5
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;Mannose-6-phosphate isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.8	EC:5.3.1.8	241201.69999999998	4784.67	3702.67	3052.83	4937.5	5126.67	3996.83	3630.83	4219.5	3759.67	578.8	1869.17	969.63	5658.2	2206.83	1950.9	3659.5	6070.0	6472.5	954.67	4760.67	4368.33	2371.67	5355.17	3286.33	2906.67	455.83	3046.17	2508.17	796.0	2796.5	2798.67	283.5	8003.67	3389.67	3366.67	3228.17	4500.0	7814.83	7803.67	7067.83	3492.17	3721.67	1569.83	3015.0	1216.5	1844.0	5104.0	6780.0	1328.33	4802.0	4366.17	5023.17	5600.83	761.83	1940.0	1286.33	7144.17	4345.17	3173.17	4697.4	3171.9	6332.5	7417.5	4558.5
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;Glucose-6-phosphate isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.9	EC:5.3.1.9	218926.69999999998	4638.67	2451.67	2789.83	4610.5	4946.67	3878.83	3337.83	4133.5	3759.67	573.8	1690.17	757.6299999999999	5653.2	2205.83	1950.9	3582.5	6021.0	6446.5	849.67	4612.67	4299.33	1941.67	5313.17	2999.33	2906.67	432.83	3033.17	2450.17	753.0	2735.5	2734.67	246.5	4738.67	2736.67	2643.67	2552.17	3195.0	5530.83	4735.67	3940.83	3421.17	3505.67	1191.83	2169.0	1006.5	1654.0	4982.0	6767.0	1325.33	4629.0	4332.17	4918.17	5514.83	760.83	1926.0	1270.33	7141.17	4339.17	3119.17	4691.4	3162.9	6323.5	7414.5	4550.5
Isomerases;Intramolecular oxidoreductases;Interconverting keto- and enol-groups;2-hydroxymuconate tautomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.2.6	EC:5.3.2.6	171969.5	4489.0	1200.0	2523.0	4264.5	4757.5	3757.5	3038.0	4047.0	1227.5	193.8	356.0	410.3	41.2	2083.5	25.9	66.5	5972.0	6417.5	742.5	4462.0	4192.5	1440.5	5270.5	2711.5	901.0	273.0	2972.0	2309.0	662.5	2630.5	1140.5	128.5	1458.0	1944.0	1835.0	1770.5	1404.0	3161.0	1611.0	796.0	3343.5	3286.0	807.0	1317.5	474.0	1453.0	4858.5	6750.0	206.5	4425.0	4034.0	4785.0	5386.5	18.0	927.0	589.5	7132.5	4332.5	3064.0	4681.4	3150.9	6311.5	7407.5	4541.5
Isomerases;Intramolecular oxidoreductases;Transposing C=C bonds;5-carboxymethyl-2-hydroxymuconate Delta-isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.3.10	EC:5.3.3.10	5222.2	3.67	0.67	3.83	3.0	3.17	3.33	4.83	0.5	0.17	0.0	0.17	0.33	0.0	0.33	0.0	0.0	0.0	0.0	1.17	0.67	0.83	1.17	0.67	0.83	10.67	135.83	48.17	71.17	4.5	3.0	85.17	72.0	3.67	29.67	29.67	25.67	470.0	5.83	1.67	6.83	0.67	0.67	2.83	1.5	313.5	3.0	0.5	0.0	1115.83	31.0	264.17	21.17	38.33	741.83	985.0	664.83	1.67	0.67	1.17	0.0	0.0	0.0	0.0	1.0
Isomerases;Intramolecular oxidoreductases;Transposing C=C bonds;Trans-2-decenoyl-[acyl-carrier-protein] isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.3.14	EC:5.3.3.14	5222.2	3.67	0.67	3.83	3.0	3.17	3.33	4.83	0.5	0.17	0.0	0.17	0.33	0.0	0.33	0.0	0.0	0.0	0.0	1.17	0.67	0.83	1.17	0.67	0.83	10.67	135.83	48.17	71.17	4.5	3.0	85.17	72.0	3.67	29.67	29.67	25.67	470.0	5.83	1.67	6.83	0.67	0.67	2.83	1.5	313.5	3.0	0.5	0.0	1115.83	31.0	264.17	21.17	38.33	741.83	985.0	664.83	1.67	0.67	1.17	0.0	0.0	0.0	0.0	1.0
Isomerases;Intramolecular oxidoreductases;Transposing C=C bonds;Isopentenyl-diphosphate Delta-isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.3.2	EC:5.3.3.2	182353.69999999998	2230.67	1848.67	1417.83	2379.5	2349.67	1660.83	1356.83	3474.5	1221.67	195.8	514.1700000000002	622.6299999999999	38.2	2022.83	25.9	140.5	6021.0	6424.5	845.67	4605.67	4290.33	1921.67	5313.17	2828.33	2903.67	411.83	3033.17	2448.17	741.0	2730.5	2724.67	246.5	4579.67	2605.67	2537.67	2436.17	3139.0	5201.83	4644.67	3905.83	3387.17	3482.67	1157.83	2162.0	1002.5	1619.0	4970.0	6762.0	1282.33	4138.0	4010.17	4176.17	5062.83	757.83	1842.0	1222.33	6933.17	3706.17	2223.17	4477.4	2453.9	6209.5	7079.5	4195.5
Isomerases;Intramolecular oxidoreductases;Transposing C=C bonds;Dodecenoyl-CoA isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.3.8	EC:5.3.3.8	5222.2	3.67	0.67	3.83	3.0	3.17	3.33	4.83	0.5	0.17	0.0	0.17	0.33	0.0	0.33	0.0	0.0	0.0	0.0	1.17	0.67	0.83	1.17	0.67	0.83	10.67	135.83	48.17	71.17	4.5	3.0	85.17	72.0	3.67	29.67	29.67	25.67	470.0	5.83	1.67	6.83	0.67	0.67	2.83	1.5	313.5	3.0	0.5	0.0	1115.83	31.0	264.17	21.17	38.33	741.83	985.0	664.83	1.67	0.67	1.17	0.0	0.0	0.0	0.0	1.0
Isomerases;Intramolecular oxidoreductases;Transposing S-S bonds;Protein disulfide-isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.4.1	EC:5.3.4.1	13598.2	3.67	0.67	3.83	35.0	15.17	3.33	8.83	0.5	0.17	2.0	12.17	18.33	0.0	0.33	2.0	0.0	0.0	6.0	3.17	4.67	74.83	141.17	0.67	0.83	4000.67	137.83	48.17	95.17	90.5	85.0	2975.17	90.0	27.67	249.67	141.67000000000004	185.67	502.0	165.83	111.67	28.83	12.67	6.67	10.83	9.5	331.5	19.0	2.5	8.0	1115.83	31.0	264.17	35.17	46.33	741.83	985.0	664.83	9.67	0.67	1.17	8.0	6.0	6.0	8.0	1.0
Isomerases;Intramolecular oxidoreductases;Other intramolecular oxidoreductases;2-keto-myo-inositol isomerase	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.99.11	EC:5.3.99.11	84849.0	791.0	402.0	433.0	911.0	1232.0	653.0	441.0	2621.0	64.0	77.0	263.0	302.0	22.0	894.0	19.0	30.0	5958.0	6389.0	636.0	4312.0	4095.0	1239.0	5241.0	2367.0	799.0	114.0	6.0	51.0	534.0	84.0	1029.0	32.0	1031.0	57.0	98.0	137.0	187.0	2474.0	726.0	237.0	70.0	96.0	57.0	55.0	148.0	45.0	12.0	4.0	42.0	821.0	2331.0	596.0	668.0	3.0	34.0	371.0	6608.0	3095.0	1104.0	3796.0	2010.0	5984.0	6741.0	3170.0
Isomerases;Intramolecular transferases;Phosphotransferases (phosphomutases);Phosphoglucosamine mutase	https://www.genome.jp/dbget-bin/www_bget?EC:5.4.2.10	EC:5.4.2.10	214738.69999999998	4638.67	2451.67	2789.83	4594.5	4940.67	3878.83	3335.83	4133.5	3759.67	572.8	1684.17	748.6299999999999	5653.2	2205.83	1949.9	3582.5	6021.0	6443.5	848.67	4610.67	4262.33	1871.67	5313.17	2999.33	911.67	431.83	3033.17	2438.17	710.0	2694.5	1289.67	237.5	4726.67	2626.67	2587.67	2472.17	3179.0	5450.83	4680.67	3929.83	3415.17	3502.67	1187.83	2165.0	997.5	1646.0	4981.0	6763.0	1325.33	4629.0	4332.17	4911.17	5510.83	760.83	1926.0	1270.33	7137.17	4339.17	3119.17	4687.4	3159.9	6320.5	7410.5	4550.5
Isomerases;Intramolecular transferases;Phosphotransferases (phosphomutases);Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	https://www.genome.jp/dbget-bin/www_bget?EC:5.4.2.11	EC:5.4.2.11	361979.2	6838.67	4283.17	4178.33	6950.0	7245.17	5535.83	4660.83	7595.5	1293.17	292.3	1043.17	1217.63	83.7	2988.83	48.4	284.0	12042.0	12862.5	1692.17	9213.17	8514.33	3718.17	10622.67	5823.83	1712.67	706.33	3085.17	2568.17	1402.5	2909.0	2482.67	400.5	9256.17	5092.67	5038.67	4801.67	5827.0	10543.83	9262.17	7815.83	6791.67	6980.17	2335.33	4317.5	1676.0	3244.5	9944.5	13512.0	1491.83	8736.0	8078.17	9058.17	10531.33	776.83	2783.0	1827.83	14064.67	8043.17	5332.17	9154.9	5609.4	12527.0	14485.5	8745.0
Isomerases;Intramolecular transferases;Phosphotransferases (phosphomutases);Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	https://www.genome.jp/dbget-bin/www_bget?EC:5.4.2.12	EC:5.4.2.12	775332.8999999999	15348.34	6907.34	8968.66	15291.5	17108.84	12821.16	10593.66	17556.0	8874.84	1494.4	4256.34	2520.56	11391.6	8283.16	3964.7	7291.5	29930.0	32085.5	3712.84	22309.34	20944.16	7731.84	26378.84	13444.16	6317.34	1365.66	9050.34	7299.34	3193.5	8228.5	7222.84	676.5	12985.34	7421.34	7262.34	7068.84	8152.0	19090.66	12479.34	9140.66	10319.84	10486.34	3300.66	5761.5	2774.0	4843.0	14845.5	20288.0	2941.16	15325.0	17360.34	15806.34	17748.16	1545.66	4847.0	3872.16	34626.84	19200.84	11510.34	21652.2	13493.7	30923.5	35714.5	19982.5
Isomerases;Intramolecular transferases;Phosphotransferases (phosphomutases);Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	https://www.genome.jp/dbget-bin/www_bget?EC:5.4.2.2	EC:5.4.2.2	214738.69999999998	4638.67	2451.67	2789.83	4594.5	4940.67	3878.83	3335.83	4133.5	3759.67	572.8	1684.17	748.6299999999999	5653.2	2205.83	1949.9	3582.5	6021.0	6443.5	848.67	4610.67	4262.33	1871.67	5313.17	2999.33	911.67	431.83	3033.17	2438.17	710.0	2694.5	1289.67	237.5	4726.67	2626.67	2587.67	2472.17	3179.0	5450.83	4680.67	3929.83	3415.17	3502.67	1187.83	2165.0	997.5	1646.0	4981.0	6763.0	1325.33	4629.0	4332.17	4911.17	5510.83	760.83	1926.0	1270.33	7137.17	4339.17	3119.17	4687.4	3159.9	6320.5	7410.5	4550.5
Isomerases;Intramolecular transferases;Phosphotransferases (phosphomutases);Beta-phosphoglucomutase	https://www.genome.jp/dbget-bin/www_bget?EC:5.4.2.6	EC:5.4.2.6	261006.5	5280.0	1602.0	2956.0	5191.5	5995.5	4410.5	3481.0	6668.0	1291.5	271.8	625.0	721.3	63.2	2977.5	45.9	96.5	11930.0	12809.5	1379.5	8776.0	8324.5	2749.5	10511.5	5078.5	3695.0	388.0	2978.0	2372.0	1239.5	2755.5	3614.5	169.5	2501.0	2111.0	1989.0	1987.5	1607.0	5715.0	2392.0	1044.0	3419.5	3385.0	868.0	1376.5	631.0	1506.0	4871.5	6758.0	248.5	5246.0	6365.0	5388.0	6058.5	21.0	961.0	960.5	13744.5	7427.5	4168.0	8481.4	5163.9	12298.5	14152.5	7711.5
Isomerases;Intramolecular transferases;Phosphotransferases (phosphomutases);Phosphopentomutase	https://www.genome.jp/dbget-bin/www_bget?EC:5.4.2.7	EC:5.4.2.7	177786.19999999998	3571.67	1092.17	1905.33	3368.0	3949.17	3073.83	2565.83	3391.5	3758.17	559.3	1463.17	496.63	5639.7	2197.83	1947.4	3480.0	5972.0	6417.5	743.17	4458.17	4190.33	1431.17	5269.67	2656.83	911.67	406.33	3019.17	2380.17	665.5	2633.0	1223.67	199.5	1266.17	1899.67	1832.67	1774.67	738.0	2883.83	839.17	301.8300000000001	3333.67	3277.17	797.33	1267.5	753.0	1450.5	4776.5	6740.0	1306.83	4110.0	4033.17	4148.17	5001.33	758.83	1841.0	1174.83	6895.67	3746.17	2129.17	4068.9	2750.4	6144.0	7137.5	3571.0
Isomerases;Intramolecular transferases;Phosphotransferases (phosphomutases);Phosphomannomutase	https://www.genome.jp/dbget-bin/www_bget?EC:5.4.2.8	EC:5.4.2.8	57401.6	157.01	1253.01	274.49	352.0	195.51	127.99	309.49	87.5	2532.51	380.0	1334.51	347.99	5612.0	122.99	1925.0	3516.0	49.0	29.0	109.51	152.01	108.49	503.51	44.01	289.49	2027.01	431.49	157.51	283.51	99.5	111.0	1764.51	262.0	3288.01	852.01	868.01	833.01	2731.0	2381.49	3128.01	3158.49	79.01	221.01	390.49	854.5	1159.5	207.0	124.5	17.0	3350.49	266.0	826.51	175.51	204.99	2226.49	2969.0	2010.49	12.01	8.01	57.51	10.0	12.0	12.0	7.0	11.0
Isomerases;Intramolecular transferases;Transferring amino groups;Lysine 2,3-aminomutase	https://www.genome.jp/dbget-bin/www_bget?EC:5.4.3.2	EC:5.4.3.2	15272.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2532.0	374.0	1149.0	126.0	5607.0	121.0	1924.0	3439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
