#Level1	Level2	Level3	unknown	Pathway
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	palmitoleate biosynthesis III (cyanobacteria)	PWY-7589
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	(7Z,10Z,13Z)-hexadecatrienoate biosynthesis	PWY-7590
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	okenone biosynthesis	PWY-7591
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	arachidonate biosynthesis III (metazoa)	PWY-7592
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	linoleate biosynthesis III (cyanobacteria)	PWY-7593
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	&gamma,-linolenate biosynthesis III (cyanobacteria)	PWY-7594
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	stearidonate biosynthesis (cyanobacteria)	PWY-7595
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	superpathway of stearidonate biosynthesis (cyanobacteria)	PWY-7596
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	&alpha,-linolenate biosynthesis II (cyanobacteria)	PWY-7598
Biosynthesis	Secondary Metabolite Biosynthesis	unknow	anditomin biosynthesis	PWY-7599
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	peramine biosynthesis	PWY-7600
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	arachidonate biosynthesis IV (8-detaturase)	PWY-7601
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	icosapentaenoate biosynthesis V (&Delta,8 desaturase)	PWY-7602
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	stephacidin A biosynthesis	PWY-7603
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	notoamide C and D biosynthesis	PWY-7604
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	roquefortine C biosynthesis	PWY-7605
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	docosahexaenoate biosynthesis III (mammals)	PWY-7606
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	meleagrin biosynthesis	PWY-7607
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	neoxaline biosynthesis	PWY-7608
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	superpathway of roquefortine, meleagrin and neoxaline biosynthesis	PWY-7609
Biosynthesis	Secondary Metabolite Biosynthesis	Siderophore and Metallophore Biosynthesis	rhizobactin 1021 biosynthesis	PWY-761
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	GDP-6-deoxy-D-altro-heptose biosynthesis	PWY-7610
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	chaetoglobosin A biosynthesis	PWY-7612
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	GDP-6-deoxy-D-manno-heptose biosynthesis	PWY-7613
Biosynthesis	Secondary Metabolite Biosynthesis	Sulfur-Containing Secondary Compound Biosynthesis	methiin metabolism	PWY-7614
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Phytoalexin Degradation	pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)	PWY-7615
Degradation/Utilization/Assimilation	Alcohol Degradation	Detoxification	methanol oxidation to carbon dioxide	PWY-7616
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	ricinoleate biosynthesis	PWY-7618
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	juniperonate biosynthesis	PWY-7619
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Phospholipid Biosynthesis	phospholipid desaturation	PWY-762
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Naphthalene Degradation	naphthalene degradation (anaerobic)	PWY-7620
Biosynthesis	Secondary Metabolite Biosynthesis	Autoinducer Biosynthesis	autoinducer CAI-1 biosynthesis	PWY-7621
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	UDP-galactofuranose biosynthesis	PWY-7622
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	astaxanthin dirhamnoside biosynthesis	PWY-7623
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	nystatin biosynthesis	PWY-7624
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Phospholipid Biosynthesis	phosphatidylinositol biosynthesis II (eukaryotes)	PWY-7625
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	bacilysin biosynthesis	PWY-7626
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Nitroaromatic Compound Degradation	2,4,6-trinitrophenol and 2,4-dinitrophenol degradation	PWY-7627
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Nitroaromatic Compound Degradation	2,4-dinitroanisole degradation	PWY-7628
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	yatein biosynthesis	PWY-7629
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	pluviatolide biosynthesis	PWY-7630
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	arctigenin and isoarctigenin biosynthesis	PWY-7631
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	hinokiresinol biosynthesis	PWY-7632
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	calycosin 7-O-glucoside biosynthesis	PWY-7633
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	vernolate biosynthesis II	PWY-7634
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Phytoalexin Degradation	kievitone detoxification	PWY-7635
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	astaxanthin biosynthesis (flowering plants)	PWY-7636
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	2,2'-dihydroxyketocarotenoids biosynthesis	PWY-7637
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	echinenone and zeaxanthin biosynthesis (Synechocystis)	PWY-7638
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	bis(guanylyl molybdenum cofactor) biosynthesis	PWY-7639
Degradation/Utilization/Assimilation	Hormone Degradation	Plant Hormone Degradation	neophaseic acid biosynthesis	PWY-7640
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	5-hexynoate biosynthesis	PWY-7641
Degradation/Utilization/Assimilation	Hormone Degradation	Plant Hormone Degradation	7'-hydroxyabscisate biosynthesis	PWY-7642
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	coniferyl alcohol 9-methyl ester biosynthesis	PWY-7643
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	heparin degradation	PWY-7644
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	hyaluronan degradation	PWY-7645
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	dermatan sulfate degradation I (bacterial)	PWY-7646
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	ulvan degradation	PWY-7647
Biosynthesis	Amino Acid Biosynthesis	Other Amino Acid Biosynthesis	4-methyl-proline biosynthesis	PWY-7648
Biosynthesis	Amino Acid Biosynthesis	Other Amino Acid Biosynthesis	3-hydroxy-L-homotyrosine biosynthesis	PWY-7649
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	echinocandin B biosynthesis	PWY-7650
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	heparan sulfate degradation	PWY-7651
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Antibiotic degradation	echinocandin B degradation	PWY-7652
Biosynthesis	Secondary Metabolite Biosynthesis	Polyketide Biosynthesis	griseofulvin biosynthesis	PWY-7653
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	(8E,10E)-dodeca-8,10-dienol biosynthesis	PWY-7654
Biosynthesis	Secondary Metabolite Biosynthesis	Polyketide Biosynthesis	dechlorogriseofulvin biosynthesis	PWY-7655
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	Spodoptera littoralis pheromone biosynthesis	PWY-7656
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	dTDP-&beta,-L-digitoxose biosynthesis	PWY-7657
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	protein N-glycosylation (Methanococcus voltae)	PWY-7658
Biosynthesis	Secondary Metabolite Biosynthesis	Polyketide Biosynthesis	viridicatumtoxin biosynthesis	PWY-7659
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	tryptoquialanine biosynthesis	PWY-7660
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	protein N-glycosylation (Haloferax volcanii)	PWY-7661
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	glycogen degradation III (via anhydrofructose)	PWY-7662
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	gondoate biosynthesis (anaerobic)	PWY-7663
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	oleate biosynthesis IV (anaerobic)	PWY-7664
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	aureobasidin A biosynthesis	PWY-7665
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Glycolipid Biosynthesis	galactolipid biosynthesis II	PWY-7666
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	apicidin biosynthesis	PWY-7667
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	apicidin F biosynthesis	PWY-7668
Biosynthesis	Secondary Metabolite Biosynthesis	Polyketide Biosynthesis	equisetin biosynthesis	PWY-7669
Biosynthesis	Secondary Metabolite Biosynthesis	Polyketide Biosynthesis	fusaridione A biosynthesis	PWY-7670
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	saframycin A biosynthesis	PWY-7671
Biosynthesis	Secondary Metabolite Biosynthesis	Polyketide Biosynthesis	fusaric acid biosynthesis	PWY-7672
Biosynthesis	Secondary Metabolite Biosynthesis	Polyketide Biosynthesis	fusarin C biosynthesis	PWY-7673
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis	PWY-7674
Biosynthesis	Cell Structure Biosynthesis	Lipopolysaccharide Biosynthesis	Kdo transfer to lipid IVA II	PWY-7675
Biosynthesis	Cell Structure Biosynthesis	Lipopolysaccharide Biosynthesis	Kdo8N transfer to lipid IVA	PWY-7676
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	rosamicin biosynthesis	PWY-7677
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Glycolipid Biosynthesis	glycolipid desaturation	PWY-782
Activation/Inactivation/Interconversion	Interconversions	unknow	L-homocysteine and L-cysteine interconversion	PWY-801
Degradation/Utilization/Assimilation	Carboxylate Degradation	Fermentation to Acetate	glycolate degradation II	PWY-804
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Toluene Degradation	toluene degradation to benzoyl-CoA (anaerobic)	PWY-81
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	UDP-L-arabinose biosynthesis II (from L-arabinose)	PWY-82
Biosynthesis	Amino Acid Biosynthesis	Superpathways	superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	PWY-821
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	fructan biosynthesis	PWY-822
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	monolignol glucosides biosynthesis	PWY-83
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	resveratrol biosynthesis	PWY-84
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Purine Nucleotide Biosynthesis	superpathway of purine nucleotides de novo biosynthesis I	PWY-841
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	starch degradation I	PWY-842
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	dhurrin biosynthesis	PWY-861
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	fructan degradation	PWY-862
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	trehalose biosynthesis II	PWY-881
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	L-ascorbate biosynthesis I (L-galactose pathway)	PWY-882
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	mevalonate pathway I	PWY-922
Biosynthesis	Aromatic Compound Biosynthesis	Salicylate and Derivatives Biosynthesis	salicylate biosynthesis II	PWY-981
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-alanine biosynthesis III	PWY0-1021
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	superpathway of L-alanine biosynthesis	PWY0-1061
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	trehalose degradation II (trehalase)	PWY0-1182
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Putrescine Degradation	putrescine degradation II	PWY0-1221
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	ADP-L-glycero-&beta,-D-manno-heptose biosynthesis	PWY0-1241
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Sugar Derivative Degradation	anhydromuropeptides recycling	PWY0-1261
Biosynthesis	Fatty Acid and Lipid Biosynthesis	unknow	biotin-carboxyl carrier protein assembly	PWY0-1264
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	lipoate biosynthesis and incorporation II	PWY0-1275
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Superpathways	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	PWY0-1277
Degradation/Utilization/Assimilation	Alcohol Degradation	unknow	ethylene glycol degradation	PWY0-1280
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	adenosine	pyrimidine ribonucleosides degradation	PWY0-1295
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	adenosine	purine ribonucleosides degradation	PWY0-1296
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	Superpathways	superpathway of purine deoxyribonucleosides degradation	PWY0-1297
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	Superpathways	superpathway of pyrimidine deoxyribonucleosides degradation	PWY0-1298
Detoxification	Acid Resistance	unknow	arginine dependent acid resistance	PWY0-1299
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	2-O-&alpha,-mannosyl-D-glycerate degradation	PWY0-1300
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	melibiose degradation	PWY0-1301
Biosynthesis	Amine and Polyamine Biosynthesis	unknow	aminopropylcadaverine biosynthesis	PWY0-1303
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	glutamate dependent acid resistance	PWY0-1305
Degradation/Utilization/Assimilation	Carboxylate Degradation	Sugar Acid Degradation	L-galactonate degradation	PWY0-1306
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	chitobiose degradation	PWY0-1309
Degradation/Utilization/Assimilation	Carboxylate Degradation	Fermentation to Acetate	acetate formation from acetyl-CoA I	PWY0-1312
Degradation/Utilization/Assimilation	Carboxylate Degradation	unknow	acetate conversion to acetyl-CoA	PWY0-1313
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	fructose degradation	PWY0-1314
Degradation/Utilization/Assimilation	Aldehyde Degradation	Lactaldehyde Degradation	L-lactaldehyde degradation (anaerobic)	PWY0-1315
Degradation/Utilization/Assimilation	Aldehyde Degradation	Lactaldehyde Degradation	L-lactaldehyde degradation (aerobic)	PWY0-1317
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Phospholipid Biosynthesis	CDP-diacylglycerol biosynthesis II	PWY0-1319
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	nitrate reduction III (dissimilatory)	PWY0-1321
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	N-acetylneuraminate and N-acetylmannosamine degradation I	PWY0-1324
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	superpathway of L-asparagine biosynthesis	PWY0-1325
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	succinate to cytochrome bo oxidase electron transfer	PWY0-1329
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	NADH to cytochrome bd oxidase electron transfer I	PWY0-1334
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	NADH to cytochrome bo oxidase electron transfer I	PWY0-1335
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	NADH to fumarate electron transfer	PWY0-1336
Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	oleate &beta,-oxidation	PWY0-1337
Biosynthesis	Cell Structure Biosynthesis	Lipopolysaccharide Biosynthesis	polymyxin resistance	PWY0-1338
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	NADH to trimethylamine N-oxide electron transfer	PWY0-1347
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	NADH to dimethyl sulfoxide electron transfer	PWY0-1348
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	nitrate reduction VIII (dissimilatory)	PWY0-1352
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	succinate to cytochrome bd oxidase electron transfer	PWY0-1353
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	formate to trimethylamine N-oxide electron transfer	PWY0-1355
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	formate to dimethyl sulfoxide electron transfer	PWY0-1356
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	S-methyl-5\'-thioadenosine Degradation	S-methyl-5'-thioadenosine degradation IV	PWY0-1391
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	superpathway of heme biosynthesis from uroporphyrinogen-III	PWY0-1415
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	tetrahydromonapterin biosynthesis	PWY0-1433
Degradation/Utilization/Assimilation	Carboxylate Degradation	unknow	D-malate degradation	PWY0-1465
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	trehalose degradation VI (periplasmic)	PWY0-1466
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	Pyrimidine Nucleobase Degradation	uracil degradation III	PWY0-1471
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	unknow	ethanolamine utilization	PWY0-1477
Macromolecule Modification	Nucleic Acid Processing	unknow	tRNA processing	PWY0-1479
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	biotin biosynthesis from 8-amino-7-oxononanoate I	PWY0-1507
Generation of Precursor Metabolites and Energy	Generation of Precursor Metabolites and Energy	unknow	sedoheptulose bisphosphate bypass	PWY0-1517
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	unknow	curcumin degradation	PWY0-1527
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Phosphorus Compound Metabolism	methylphosphonate degradation I	PWY0-1533
Degradation/Utilization/Assimilation	Amino Acid Degradation	Other Amino Acid Degradation	D-serine degradation	PWY0-1535
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	proline to cytochrome bo oxidase electron transfer	PWY0-1544
Biosynthesis	Fatty Acid and Lipid Biosynthesis	PWY0-1545	unknown	PWY0-1545
Degradation/Utilization/Assimilation	Polymeric Compound Degradation	unknow	muropeptide degradation	PWY0-1546
Macromolecule Modification	Nucleic Acid Processing	unknow	5-(carboxymethoxy)uridine biosynthesis	PWY0-1554
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	glycerol-3-phosphate to cytochrome bo oxidase electron transfer	PWY0-1561
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	D-lactate to cytochrome bo oxidase electron transport	PWY0-1565
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	NADH to cytochrome bo oxidase electron transfer II	PWY0-1567
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	NADH to cytochrome bd oxidase electron transport II	PWY0-1568
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	unknow	autoinducer AI-2 degradation	PWY0-1569
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	hydrogen to fumarate electron transfer	PWY0-1576
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	hydrogen to dimethyl sulfoxide electron transfer	PWY0-1577
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	hydrogen to trimethylamine N-oxide electron transfer	PWY0-1578
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	nitrate reduction IX (dissimilatory)	PWY0-1581
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	unknown	glycerol-3-phosphate to fumarate electron transfer	PWY0-1582
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	nitrate reduction X (periplasmic, dissimilatory)	PWY0-1584
Biosynthesis	Cell Structure Biosynthesis	Cell Wall Biosynthesis	peptidoglycan maturation (meso-diaminopimelate containing)	PWY0-1586
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Pyrimidine Nucleotide Biosynthesis	superpathway of pyrimidine ribonucleotides de novo biosynthesis	PWY0-162
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	2\'-Deoxyribonucleotide Biosynthesis	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	PWY0-166
Degradation/Utilization/Assimilation	Carboxylate Degradation	L-Ascorbate Degradation	L-ascorbate degradation I (bacterial, anaerobic)	PWY0-301
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Phenolic Compound Degradation	phenylacetate degradation I (aerobic)	PWY0-321
Degradation/Utilization/Assimilation	Alcohol Degradation	Glycerol Degradation	glycerol and glycerophosphodiester degradation	PWY0-381
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Allantoin Degradation	allantoin degradation IV (anaerobic)	PWY0-41
Degradation/Utilization/Assimilation	Carboxylate Degradation	Propanoate Degradation	2-methylcitrate cycle I	PWY0-42
Degradation/Utilization/Assimilation	Carboxylate Degradation	Succinate Degradation	conversion of succinate to propanoate	PWY0-43
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	D-allose degradation	PWY0-44
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-lysine degradation I	PWY0-461
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	lipoate biosynthesis and incorporation I	PWY0-501
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Sugar Derivative Degradation	fructoselysine and psicoselysine degradation	PWY0-521
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	lipoate salvage I	PWY0-522
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	cyclopropane fatty acid (CFA) biosynthesis	PWY0-541
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	PRPP biosynthesis I	PWY0-662
Superpathways	Superpathways	unknow	aspartate superpathway	PWY0-781
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	PWY0-823
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	PWY0-845
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	(5Z)-dodec-5-enoate biosynthesis	PWY0-862
Biosynthesis	Fatty Acid and Lipid Biosynthesis	PWY0-881	unknown	PWY0-881
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-selenocysteine biosynthesis I (bacteria)	PWY0-901
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	taurine degradation IV	PWY0-981
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-alanine degradation IV	PWY1-2
Biosynthesis	Storage Compound Biosynthesis	unknow	polyhydroxybutanoate biosynthesis	PWY1-3
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	actinorhodin biosynthesis	PWY1A0-6325
Biosynthesis	Amine and Polyamine Biosynthesis	Betaine Biosynthesis	glycine betaine biosynthesis III (plants)	PWY1F-353
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	phenylpropanoid biosynthesis, initial reactions	PWY1F-467
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	leucopelargonidin and leucocyanidin biosynthesis	PWY1F-823
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	flavonoid biosynthesis	PWY1F-FLAVSYN
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	mycothiol biosynthesis	PWY1G-0
Detoxification	Detoxification	unknow	mycothiol-mediated detoxification	PWY1G-1
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	mycothiol oxidation	PWY1G-126
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	Formaldehyde Oxidation	formaldehyde oxidation III (mycothiol-dependent)	PWY1G-170
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	superpathway of linalool biosynthesis	PWY2OL-4
Biosynthesis	Fatty Acid and Lipid Biosynthesis	unknow	sphingomyelin metabolism	PWY3DJ-11281
Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	Ceramide and Sphingolipid Recycling and Degradation	sphingosine and sphingosine-1-phosphate metabolism	PWY3DJ-11470
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Sphingolipid Biosynthesis	ceramide de novo biosynthesis	PWY3DJ-12
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	L-ascorbate biosynthesis IV	PWY3DJ-35471
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	PWY3O-19
